title|description
AAA rating|See triple-A rating.
abatement|Reduction in amount, degree, or intensity of an activity. In *environmental economics abatement is used to describe a reduction in the emission of pollutants. Technical abatement refers to measures involving the production activities of firms, such as the introduction of new, or amendment of existing, technologies or processes. Behavioural abatement refers to consumption activities, or changes in the lifestyle of consumers. See also abatement cost.
abatement cost|The cost of securing a reduction in pollution. The abatement cost can be quoted as a cost per unit or the total cost of achieving a given target. The marginal abatement cost should be equated to the marginal benefit to determine the efficient reduction in pollution. The concept of abatement cost applies to pollution caused by the production activities of firms and the consumption activities of consumers.
ability and earnings|See earnings function.
ability to pay|The principle that any *tax should fall on those who can afford to pay. In practice, taking account of ability to pay means that tax payments increase with the observed income or assets of taxpayers. In principle, *earning capacity should also be taken into account. The main objections to the ability to pay criterion are that earning capacity is unobservable, and that taxing income reduces the incentive to work. However, the collection of taxes from those who cannot afford to pay is unpopular, expensive, and sometimes impossible. Ability to pay is an alternative to the *benefit principle under which only those who benefit from any given public expenditure should be taxed to pay for it. The government requires tax revenue to pay for *public goods and *income redistribution. Given the level of revenue necessary to run a modern society, use of the ability to pay criterion for taxation seems inevitable.
abnormal obsolescence|Loss of value of an asset, a piece of capital equipment, or a property due to changes in techniques, tastes, or circumstances that cannot be reasonably foreseen. Equipment may become obsolete because consumers no longer want the goods it produces, or because *technical progress in other industries means that *intermediate goods it produces are no longer needed. It may become obsolete because new techniques in its own industry allow production with less labour, fuel, or materials, or because it does not comply with improved health and safety regulations. A property can lose its value as a result of a natural catastrophe in the area, even if the property itself has not been physically damaged. See also normal obsolescence.
abnormal profit|See supernormal profit.
absolute advantage|The ability to produce an output using fewer inputs than other producers. With only one type of resource, such as hours of work, a producer with lower inputs has an absolute advantage. When there are many factors of production absolute advantage means that the *production set for one producer is everywhere outside that of another. Absolute advantage gives no guidance on how to allocate resources, which are best employed where their *comparative advantage is greatest.
absorption|1. In the national accounts, the total of expenditure on real goods and services, by consumers, investors, and the government. Absorption is the use of output: it excludes exports and includes imports. This is contrasted with *production, which includes exports and excludes imports. The absorption approach to *devaluation looks at its effects on various forms of expenditure, and points out that devaluation can only improve the balance of payments on current account if production increases relative to absorption.
abstinence|Refraining from, or at least postponing, consumption which could have been undertaken immediately. Where the funds not being spent arise from current income, abstinence is thus the same as *saving; but the term also covers refraining from running down past savings or spending windfall gains.
abuse of dominant position|The use of anticompetitive business practices by a dominant firm to maintain or increase market share, either in the product market or in a geographic market. European Union competition law prohibits the abuse of dominant position when it affects trade between member states. See also competition policy.
accelerated depreciation|The right to *write down capital goods for tax purposes faster than the rate at which they would normally be depreciated. This is intended to encourage *investment, as it enables a company to defer its taxes when it invests. Under accelerated depreciation a firm’s profits net of *depreciation, and thus its tax liabilities, are lower than they would have been under normal depreciation. Once the capital goods are written off, profits net of depreciation become higher than they would have been under normal depreciation, and the tax bill rises again.
accelerator|A model relating *investment to changes in *output. The accelerator model asserts that firms invest more when output is rising and less when it is falling. The argument behind this assertion is that a rise in *demand leads some firms to produce more and leads them, and other firms, to expect that demand will rise further. The rise in output raises the ratio of output to *capacity, and the expectation of further rises in demand makes firms believe it would be profitable to have more capital equipment. Accelerator-type models help explain empirically observed variations in both *fixed investment and *investment in stocks and work in progress.
acceptance|Adding one’s signature to a *bill of exchange, thereby accepting *liability to pay the bill at *maturity if the original signatory fails to do so. Acceptance of a bill of exchange by an institution of high financial standing, such as a *merchant bank, makes the bill safer to hold and thus easier to sell. The acceptor is taking a *risk, and makes a charge for this.
acceptance region|In statistical inference, a set, or a range of values, where the test statistic is likely to fall with a given probability if the *null hypothesis is true. The set that is the complement of the acceptance region is termed the rejection region. See also rejection rule.
accepting house|A financial firm that is willing to accept *bills of exchange, that is, to guarantee that they will be paid on the due date. An accepting house uses its financial reputation to earn a fee for acceptance, and its specialized knowledge of financial markets to avoid taking too many risks of accepting bills where it is actually going to have to honour its *guarantee. The principal London accepting houses form the Accepting Houses Committee.
accession criteria|The conditions a candidate country must satisfy in order to become a member of the *European Union. These include political and economic criteria, as well as requirements for administrative and institutional capacity. The 1993 European Council in Copenhagen agreed that candidate countries should have ‘achieved stability of institutions guaranteeing democracy, the rule of law, human rights, respect for and protection of minorities, the existence of a functioning market economy’ and adhere to ‘the aims of political, economic and monetary union’.
accommodatory monetary policy|A policy of allowing the supply of money to expand in line with the demand for it. If the *demand for money rises because of sustainable real growth in the economy, accommodatory monetary policy is desirable, and failure to expand the *money supply obstructs real growth. If, however, the cause of rising demand for money is a temporary, unsustainable surge in real activity, *inflation in prices and wages, or both, then accommodatory monetary policy allows these excesses to continue too long. When obvious *excess demand or high inflation eventually forces a shift to a more restrictive monetary policy, this will have to be severe and may cause a serious *recession.
account(s)|A statement about activities over a specified period. Accountability is the obligation to produce such a statement: the directors of companies are accountable to their shareholders, and in the UK ministers are accountable to Parliament for the activities of their departments. Accounts take various forms:
accounting|See cost accounting; creative accounting; inflation accounting; management accounting.
accounting period|The period of time, normally a year, to which a set of company accounts refers.
